sku,name,type,category,subcat,active
P7003103CR,The Cedar Reserve - Green Monster - PG - 03mg,Product,Labelled,Freebase,1
P7003106CR,The Cedar Reserve - Green Monster - PG - 06mg,Product,Labelled,Freebase,1
P7003112CR,The Cedar Reserve - Green Monster - PG - 12mg,Product,Labelled,Freebase,1
P7003118CR,The Cedar Reserve - Green Monster - PG - 18mg,Product,Labelled,Freebase,1
P7047900CR,The Cedar Reserve - Gummy Bears - PG - 00mg,Product,Labelled,Freebase,1
P7047903CR,The Cedar Reserve - Gummy Bears - PG - 03mg,Product,Labelled,Freebase,1
P7047906CR,The Cedar Reserve - Gummy Bears - PG - 06mg,Product,Labelled,Freebase,1
P7047912CR,The Cedar Reserve - Gummy Bears - PG - 12mg,Product,Labelled,Freebase,1
P7047918CR,The Cedar Reserve - Gummy Bears - PG - 18mg,Product,Labelled,Freebase,1
P7031700CR,The Cedar Reserve - Jager - PG - 00mg,Product,Labelled,Freebase,1
P7031703CR,The Cedar Reserve - Jager - PG - 03mg,Product,Labelled,Freebase,1
P7031706CR,The Cedar Reserve - Jager - PG - 06mg,Product,Labelled,Freebase,1
P7031712CR,The Cedar Reserve - Jager - PG - 12mg,Product,Labelled,Freebase,1
P7031718CR,The Cedar Reserve - Jager - PG - 18mg,Product,Labelled,Freebase,1
P7031500CR,The Cedar Reserve - Jelly Spogs - PG - 00mg,Product,Labelled,Freebase,1
P7031503CR,The Cedar Reserve - Jelly Spogs - PG - 03mg,Product,Labelled,Freebase,1
P7031506CR,The Cedar Reserve - Jelly Spogs - PG - 06mg,Product,Labelled,Freebase,1
P7031512CR,The Cedar Reserve - Jelly Spogs - PG - 12mg,Product,Labelled,Freebase,1
P7031518CR,The Cedar Reserve - Jelly Spogs - PG - 18mg,Product,Labelled,Freebase,1
P7047100CR,The Cedar Reserve - Grape Menthol - PG - 00mg,Product,Labelled,Freebase,1
P7047103CR,The Cedar Reserve - Grape Menthol - PG - 03mg,Product,Labelled,Freebase,1
P7047106CR,The Cedar Reserve - Grape Menthol - PG - 06mg,Product,Labelled,Freebase,1
P7047112CR,The Cedar Reserve - Grape Menthol - PG - 12mg,Product,Labelled,Freebase,1
P7047118CR,The Cedar Reserve - Grape Menthol - PG - 18mg,Product,Labelled,Freebase,1
